cat_name	Involvement	Hedonic	Utilitarian	PerformanceRisk	SocialDemonstrance	MuchToLose
beer	3.1546	5.9612	2.6080	3.4404	3.3869	2.4954
carbbev	2.7841	5.3246	2.5625	3.0093	2.7220	2.5333
cigets	2.8172	4.2600	2.2418	3.0981	3.1139	2.5981
coffee	3.8110	5.5182	4.7416	3.6352	3.0668	2.9918
coldcer	3.1291	4.7473	4.9402	3.1571	2.7159	2.6179
deod	3.5969	2.8265	6.3632	3.5340	2.4381	3.1803
diapers	3.2308	2.1000	6.4097	3.7244	2.4514	3.3590
pz_di	2.6218	3.6070	3.9062	3.2155	2.4707	2.6234
hhclean	3.3101	2.1770	6.3045	3.4122	2.5865	3.0777
ketchup	2.8516	3.4491	4.4394	2.5796	2.0545	2.3037
laundet	3.4228	2.3966	6.4485	3.5290	2.5636	3.2048
margbutr	2.8062	3.0880	4.6303	2.7229	2.1725	2.3655
mayo	2.7762	3.0731	4.3680	2.8333	2.1515	2.4980
milk	3.3100	3.3899	5.7025	2.8090	2.3387	2.7222
mustard	2.7920	3.2978	4.2659	2.4599	2.1154	2.1606
spagsauc	3.0674	3.8873	4.6880	3.0546	2.3033	2.6056
peanbutr	3.3036	4.3732	4.9384	2.9807	2.3047	2.5965
rz_bl	3.4777	2.6136	6.3269	3.7164	2.5193	3.3619
saltsnck	3.0397	5.1644	3.3000	2.9659	2.5595	2.4744
shamp	3.6672	3.0922	6.3559	3.5563	2.8351	3.1809
soup	2.9263	3.4000	4.7363	2.9392	2.1642	2.4653
sugarsub	2.8074	2.8217	4.0120	2.7553	2.5152	2.4752
toitisu	3.6003	2.4044	6.7017	3.5966	2.4473	3.1525
toothpa	3.6559	2.7915	6.6212	3.4324	2.5305	3.0878
yogurt	3.1559	4.0338	4.5855	3.0111	2.4272	2.5519
